name,price,status,shipping,free_returns,items_sold
MITSUBISHI A3-CPU / A3CPU (NEW IN BOX),336980,,1290,False,
MITSUBISHI A3H-CPU / A3HCPU (NEW IN BOX),183665,,1290,False,
SICK FX3-CPU000000 / FX3CPU000000 (NEW IN BOX),36200,,1290,False,
FANUC CPU BOARD A16B-3200-0429 **TESTED WARRANTY**,139995,,3804,False,
PILZ P9-CPU / P9CPU (USED),133323,,1290,False,
PILZ P10-CPU / P10CPU (NEW NO BOX),301155,,1290,False,
New ListingIntel Core i7-11700 SRKNS 2.50GHz 8-Core LGA1200 Desktop CPU Processor - TESTED,15000,Pre-Owned,0,False,
Intel Core i5-10600 CPU | SRH37 3.3GHz (Max Turbo 4GHz) | 12 MB | LGA1200,8495,Pre-Owned,,True,
AMD Ryzen 5 PRO 3400GE 3.30GHz AM4 Quad-Core YD340BC6M4MFH CPU Processor,4499,Pre-Owned,0,False,45
Intel Core i7-4790 3.60GHz SR1QF Socket LGA1150 Processor CPU,3895,Pre-Owned,0,False,1464
Intel Core i7-2600 3.40GHz LGA1155 SR00B Processor,2500,Pre-Owned,0,False,
Intel Core i7-6850K 3.60GHz 6-Core SR2PC LGA2011-3 CPU Processor *Tested,3495,Pre-Owned,,False,103
Intel Quad Core i5-7500 SR335  3.4GHz LGA1151 CPU Processor,2245,Pre-Owned,,False,699
Intel Core i5-6500T 2.5 GHz 8GT/s LGA 1151 Desktop CPU Processor SR2L8,1998,Pre-Owned,0,True,956
Intel Xeon E3-1240 v3 3.40GHz 4-Core 5 GT/s DMI 8MB LGA1150 CPU Processor SR152,1349,Pre-Owned,0,False,623
Intel Xeon E5 - 2667V2  / SR19W   3.30GHz 25MB  8-Core CPU Socket LGA2011,2999,Pre-Owned,,False,345
(New) AMD Ryzen 5 5600X 6-Core 12-Thread AM4 CPU Processor OEM Tray,14499,Brand New,,True,502
Intel Core i5-10600 Processor 3.3GHz (Turbo 4.8GHz) 6-Core 12M LGA1200 SRH37,8799,Good - Refurbished,,True,14
Intel Core i5-10500T 2.30 GHz LGA 1200 Desktop CPU Processor SRH3B,7998,Pre-Owned,0,True,257
Lot of 2 - Intel Xeon Gold 6138 2.0 GHz 20 Cores SR3B5 CPU LGA3647 (Socket P),2099,Pre-Owned,0,False,495
Intel Xeon Gold 6244 SRF8Z 3.60GHz 24.75MB 8-Core LGA3647 CPU Processor,5999,Pre-Owned,0,False,181
"AMD Ryzen 7 8700G  AM5 4.2GHz 8 Cores, 16 Threads CPU.",19999,Pre-Owned,0,False,
New ListingAMD Ryzen 5 9600X 9000 Series Desktop Processor 100-000000908 6-Core 12-Thread,16500,Brand New,500,False,
AMD Ryzen 9 3900X Desktop CPU  Processor AM4 12 cores 24-Thread 100-000000023,12994,Pre-Owned,795,False,
Ethernet Expansion PCB Cyclone CPU 11S98Y6950YM10RJ61W049🟦,24714,Pre-Owned,0,True,
Used INTEL X5690 CPU Processor 3.46GHz,9288,Pre-Owned,0,True,
CX1020-0111 Beckhoff PLC Slice I/O Basic CPU CX1020-N010 CX1020-N000,55599,Pre-Owned,770,False,
New Factory Sealed AB 1769-L32E CompactLogix EtherNet Processor Free Shipping,49900,Brand New,0,True,
Server Dell R650xs 10x2.5 1x Silver 4309Y 32GB H345 2x480GB SSD SATA 2xPSU,333168,Pre-Owned,9990,False,
YG Allen-Bradley 1747-L543 SER C SLC 500 CPU Processor Unit Module 1747L543,224300,Brand New,0,True,
"AMD RYZEN 7 9800X3D 8-Core, 16-Thread Desktop Processor",27999,Brand New,0,False,19
INTEL Xeon E5-2697 V4 SR2JV 2.30GHZ 45MB 18-Core LGA2011-3 CPU,2999,Pre-Owned,,False,
AMD - Ryzen 9 9950X 16-Core - 32-Thread 4.3 GHz (5.7 GHz Max Boost) Socket AM...,64900,Brand New,0,False,249
New ListingAMD Ryzen 7 7800X3D 4.20GHz 8 Core 100-000000910 16 Thread AM5 (New),30060,Open Box,,True,
Intel Xeon E3-1240 v3 3.40GHz 4-Core 5 GT/s DMI 8MB LGA1150 CPU Processor SR152,1349,Pre-Owned,0,False,623
"AMD Ryzen 9 5950X Desktop Processor (4.9GHz, 16 Cores, Socket AM4) Tray -...",28500,Pre-Owned,900,False,
Intel Core i7-7820X Eight Core 3.6GHz 11MB Socket 2066 CPU Processor SR3L5 *km,2999,Pre-Owned,0,True,47
Intel Xeon CPU E3-1245 V5 Quad-Core 3.5Ghz LGA1151 SR2LL *km,1099,Pre-Owned,0,True,394
SRF8W Intel Xeon Gold 6230 20-Core 2.10GHz 27.5MB 125W FCLGA3647 Processor,3290,Pre-Owned,0,False,80
Intel 2U 4-Node 24SFF Cloud/HPC Server 8x Silver 4110 64-Core 2.1GHz 128GB RAM,223500,Pre-Owned,0,False,
"New 2025 Sealed Allen Bradley 1783-CMS10DP SER A ""USA SELLER""",252300,Brand New,0,True,
New Factory Sealed AB 1769-L33ERMS SER A Compact GuardLogix CPU 5370 Controller,173500,Brand New,0,True,
New ListingAMD Ryzen 9 5900 Desktop Processor,18888,Pre-Owned,0,False,
Intel Xeon E5 - 2667V2  / SR19W   3.30GHz 25MB  8-Core CPU Socket LGA2011,2999,Pre-Owned,,False,345
Intel Core i3-8100 SR3N5 3.60GHz CPU Processors,1700,Pre-Owned,,False,
Intel Xeon E3-1270 3.40GHz Quad Core 8MB 80W LGA1155 CPU CM8062307262403 - SR00N,1295,Pre-Owned,0,False,
Intel i9-14900K 14th Gen Unlocked Desktop Processor 24C 32T 6.0GHz NEW,27900,Brand New,0,False,
Intel Xeon E5-2699A V4 SR30Y 2.40GHz CPU Server Processor,14500,Pre-Owned,0,False,
ARCTIC Liquid Freezer III Pro 360 black PC Water Cooler Cooling CPU B-Stock,5309,Brand New,883,False,366
New Intel Core i9-14900K 3.20GHz 24 Core SRN48 32 Thread LGA 1700,31200,Brand New,0,False,
New ListingIntel Core i5-4590 SR1QJ 3.3GHz Quad Core LGA1150 CPU Lot of 8,8800,Pre-Owned,897,False,
Intel Core i5-6500T 2.5 GHz 8GT/s LGA 1151 Desktop CPU Processor SR2L8,1998,Pre-Owned,0,True,956
Intel Core i5-7500T SR337 2.7GHz 4-Core LGA 1151 CPU,1998,Excellent - Refurbished,0,True,81
Lot of 2 - Intel Xeon Gold 6138 2.0 GHz 20 Cores SR3B5 CPU LGA3647 (Socket P),2099,Pre-Owned,0,False,495
"New Allen-Bradley 1769-L30ERMS Compact GuardLogix CPU, L30ERMS, 1M/0.5M",273600,Brand New,0,True,
Dell Windows 11 Pro Desktop Computer Mini Pc Up To i7 32GB RAM 1TB SSD Wi-Fi,59222,Excellent - Refurbished,,True,
NEW SLOCKET Slot 1 to 370 adapter with the famous Celeron 300A (32k L1  128k L2),13994,Brand New,835,False,
Sealed AB 1769-L30ERMS Compact GuardLogix Processor Free Shipping,152500,Brand New,0,True,
"INTEL confidential cpu,we have 60pcs,sale by piece",8500,Pre-Owned,0,False,
Intel Quad Core i5-7500 SR335  3.4GHz LGA1151 CPU Processor,2245,Pre-Owned,,False,699
Intel Core i5-7500 SR335 3.4GHz 4-Core LGA 1151 CPU PROCESSOR,2499,Excellent - Refurbished,0,True,126
Intel Xeon E5-2699 v3 2.30GHz 18-Core 45MB LGA 2011-3 CPU Processor P/N: SR1XD,2099,Pre-Owned,0,True,69
"AMD Ryzen 7 8700G  AM5 4.2GHz 8 Cores, 16 Threads CPU.",19999,Pre-Owned,0,False,
"Intel Core i7-11700 Processor (5 GHz, 8 Cores, Socket FCLGA1200) cpu",17999,Pre-Owned,0,True,62
Original New AB 1769-L30ERMS Compact GuardLogix Processor,222900,Brand New,0,True,
Allen Bradley 1756-L74 SER B 16MB Controller ControlLogix Logix5574 Processor,205500,Brand New,0,True,
Intel Xeon Platinum 8160 2.10GHz 24 Core 33MB LGA3647 CPU P/N: SR3B0 Tested,3699,Pre-Owned,0,True,
Intel Xeon E3-1246 V3 Quad-Core 3.5GHz 8MB LGA1150 Processor SR1QZ *km,1798,Pre-Owned,0,False,80
AMD Ryzen 5 9600X Processor (Zen 5) 6-Core 3.9GHz AM5 65W CPU 100-100001405WOF,18999,Brand New,,True,63
